awbari,26.5921,12.7805,66.65,26,100,12.44,LY,1612739704
san rafael,-34.6177,-68.3301,72.32,46,7,21.16,AR,1612739433
mrirt,nan,nan,nan,nan,nan,nan,nan,nan
moroni,-11.7022,43.2551,81.25,77,99,9.66,KM,1612739719
poum,-20.2333,164.0167,80.55,68,47,6.58,NC,1612739719
ryotsu,38.0833,138.4333,30.2,93,90,17.27,JP,1612739720
kirakira,-10.4544,161.9205,85.1,67,15,7.63,SB,1612739720
faanui,-16.4833,-151.75,81.27,77,2,12.66,PF,1612739721
zhob,31.3411,69.4481,49.95,46,0,0.29,PK,1612739721
nhulunbuy,-12.2333,136.7667,78.8,94,40,14.97,AU,1612739722
webb city,37.1465,-94.463,30,93,90,6.91,US,1612739722
whangarei,-35.7317,174.3239,69.01,79,80,7,NZ,1612739723
walvis bay,-22.9575,14.5053,64.99,82,4,11.5,NA,1612739703
deniliquin,-35.5333,144.9667,64,51,27,1.99,AU,1612739724
dingle,10.9995,122.6711,76.05,91,100,10.04,PH,1612739724
oistins,13.0667,-59.5333,78.8,65,40,17.27,BB,1612739725
sao filipe,14.8961,-24.4956,69.37,73,100,13.06,CV,1612739725
saint-leu,-21.15,55.2833,77,61,12,3.44,RE,1612739726
upernavik,72.7868,-56.1549,18.3,79,5,3.87,GL,1612739480
pangnirtung,66.1451,-65.7125,26.89,77,0,11.56,CA,1612739510
manaure,11.7751,-72.4445,82.51,61,99,18.14,CO,1612739727
kelo,9.3086,15.8066,72.28,20,40,5.14,TD,1612739727
okmulgee,35.6234,-95.9605,33.8,80,90,8.05,US,1612739728
bandarbeyla,9.4942,50.8122,75.09,80,28,16.73,SO,1612739728
tsogni,-2.7942,10.0988,77.23,87,100,2.42,GA,1612739729
bakel,14.905,-12.4568,75.15,18,33,9.66,SN,1612739729
cayenne,4.9333,-52.3333,80.6,83,90,11.5,GF,1612739542
dzhusaly,nan,nan,nan,nan,nan,nan,nan,nan
hirara,24.8,125.2833,66.2,88,20,6.91,JP,1612739731
port-gentil,-0.7193,8.7815,78.8,94,20,1.14,GA,1612739731
huntingdon,52.3305,-0.1865,30.99,90,99,11.01,GB,1612739503
baykit,61.67,96.37,27.75,95,99,7.29,RU,1612739732
avera,33.194,-82.5271,50,66,1,3.44,US,1612739732
rosario,-32.9468,-60.6393,86,42,0,3.44,AR,1612739547
esperance,-33.8667,121.9,62.6,88,26,8.05,AU,1612739714
chemal,51.4111,86.005,25.66,90,100,5.93,RU,1612739734
airai,-8.9266,125.4092,63.54,100,100,2.28,TL,1612739734
bababe,nan,nan,nan,nan,nan,nan,nan,nan
chapais,49.7834,-74.8492,14,79,90,9.22,CA,1612739735
klaksvik,62.2266,-6.589,35.6,64,40,12.66,FO,1612739736
makat,47.6469,53.3463,16.3,78,0,17.2,KZ,1612739535
muroto,33.2833,134.15,37.4,87,40,9.22,JP,1612739736
clyde,41.3042,-82.9752,10.99,73,100,6.96,US,1612739737
lahaina,20.8783,-156.6825,78.8,53,40,12.66,US,1612739695
khuzhir,53.1939,107.3397,10.45,90,72,1.05,RU,1612739738
itarema,-2.9248,-39.9167,80.6,78,0,13.89,BR,1612739696
